"word/date","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"dr.","N/A","N/A","N/A","0.0","N/A","0.0","N/A","0.0","0.0","0.0","4.064710186163727e-05","4.313505585989734e-05","0.0","0.00021567993098242207","0.0","0.00047992321228603423"
"contact","N/A","N/A","N/A","0.0032679738562091504","N/A","0.007590132827324478","N/A","0.003799731783638802","0.005840546055872212","0.00522899860735213","0.004776034468742378","0.004486045809429323","0.004593203759622337","0.004313598619648442","0.0048114901256732494","0.0035194368900975845"
"please","N/A","N/A","N/A","0.006535947712418301","N/A","0.007590132827324478","N/A","0.0033527045149754136","0.004116529449018366","0.0038626271119636337","0.003759856922201447","0.003925290083250658","0.004508144430740441","0.0036665588267011753","0.004308797127468581","0.005439129739241722"
"million","N/A","N/A","N/A","0.00980392156862745","N/A","0.003795066413662239","N/A","0.004470272686633884","0.0036943213004010976","0.002785295740599627","0.0029062677831070646","0.002609670879523789","0.0026793688597796963","0.003235198964736331","0.0028007181328545783","0.002079667253239482"
"i am","N/A","N/A","N/A","0.006535947712418301","N/A","0.0056925996204933585","N/A","0.008940545373267769","0.005805362043487439","0.006358882728538771","0.0074384196406796195","0.007829012638571367","0.007570280270488666","0.00830367734282325","0.008904847396768402","0.006558950567909135"
"transfer","N/A","N/A","N/A","0.0","N/A","0.0","N/A","0.001117568171658471","0.0008444162972345366","0.0005780802480489792","0.0014429721160881229","0.0009705387568476902","0.0008505932888189513","0.0007548797584384774","0.0007899461400359066","0.0011198208286674132"
"regards","N/A","N/A","N/A","0.0032679738562091504","N/A","0.0","N/A","0.0013410818059901655","0.0007388642600802195","0.0015240297448563995","0.0016868547272579466","0.0018116723461156883","0.00174371624207885","0.002480319206297854","0.003016157989228007","0.0025595904655255157"
"transaction","N/A","N/A","N/A","0.0","N/A","0.0","N/A","0.0006705409029950827","0.0007740482724649919","0.0006569093727829308","0.001382001463295667","0.0012940516757969202","0.001063241611023689","0.0010783996549121105","0.0009335727109515261","0.0009598464245720685"
"interest","N/A","N/A","N/A","0.0","N/A","0.0","N/A","0.0042467590523021905","0.0017943846316233903","0.0023911501169298684","0.0028656206812454274","0.00276064357503343","0.002339131544252116","0.0029655990510083037","0.001651705565529623","0.0015997440409534474"
"urgent","N/A","N/A","N/A","0.0032679738562091504","N/A","0.0","N/A","0.002682163611980331","0.0010555203715431707","0.0009459494968074205","0.0011381188521258434","0.0009489712289177415","0.0008505932888189513","0.0010783996549121105","0.0008617594254937164","0.0009598464245720685"
"immediately","N/A","N/A","N/A","0.0","N/A","0.0018975332068311196","N/A","0.00022351363433169424","0.0010555203715431707","0.0009459494968074205","0.0008942362409560199","0.0007117284216883061","0.0005528856377323183","0.0006470397929472663","0.0010053859964093358","0.0006398976163813789"
